Wall time,Step,Value
1741457382.787647,2048,277.669677734375
1741457382.789693,4096,294.3084411621094
1741457382.791581,6144,310.31304931640625
1741457382.793655,8192,327.4149169921875
1741457382.795669,10240,346.2461853027344
1741457382.79767,12288,361.9378662109375
1741457382.799682,14336,379.0707092285156
1741457382.802571,16384,392.553466796875
1741457382.805724,18432,404.5328674316406
1741457382.807622,20480,415.2360534667969
1741457382.809924,22528,428.093505859375
1741457382.811629,24576,438.87420654296875
1741457382.813672,26624,446.8049621582031
1741457382.815598,28672,456.21954345703125
1741457382.817669,30720,465.4793395996094
1741457382.819691,32768,474.0556640625
1741457382.821598,34816,482.328369140625
1741457382.823926,36864,491.0015869140625
1741457382.825615,38912,498.205810546875
1741457382.827662,40960,504.87933349609375
1741457382.829597,43008,513.683349609375
1741457382.831641,45056,519.972900390625
1741457382.833743,47104,528.4776000976562
1741457382.835676,49152,535.5011596679688
1741457382.837959,51200,547.2692260742188
1741457382.839655,53248,565.4832763671875
1741457382.841567,55296,581.6285400390625
1741457382.843632,57344,596.4185180664062
1741457382.84569,59392,610.8781127929688
1741457382.850311,61440,623.3468017578125
1741457382.853646,63488,636.1076049804688
1741457382.85572,65536,651.5474243164062
1741457382.857615,67584,664.0587768554688
1741457382.859629,69632,677.4409790039062
1741457382.861654,71680,690.5526123046875
1741457382.863683,73728,704.01416015625
1741457382.865689,75776,717.3762817382812
1741457382.867634,77824,731.440185546875
1741457382.869595,79872,744.7339477539062
1741457382.87166,81920,758.6915893554688
1741457382.873698,83968,772.5841674804688
1741457382.875603,86016,789.4012451171875
1741457382.877705,88064,803.9405517578125
1741457382.879643,90112,819.908935546875
1741457382.881621,92160,836.0604858398438
1741457382.883683,94208,852.3052978515625
1741457382.885587,96256,867.8671264648438
1741457382.887659,98304,882.582275390625
1741457382.88966,100352,898.8318481445312
1741457382.893648,102400,915.081298828125
1741457382.895739,104448,930.8221435546875
1741457382.897663,106496,947.126220703125
1741457382.899673,108544,967.9196166992188
1741457382.901585,110592,984.9542846679688
1741457382.903594,112640,1002.7508544921875
1741457382.905663,114688,1019.8944091796875
1741457382.907738,116736,1036.693359375
1741457382.909615,118784,1053.3118896484375
1741457382.911684,120832,1069.4144287109375
1741457382.913565,122880,1086.048828125
1741457382.915621,124928,1101.9793701171875
1741457382.917643,126976,1118.8746337890625
1741457382.919696,129024,1137.82177734375
1741457382.921673,131072,1153.5850830078125
1741457382.923636,133120,1168.2501220703125
1741457382.925596,135168,1183.9473876953125
1741457382.927632,137216,1199.3502197265625
1741457382.929698,139264,1214.3826904296875
1741457382.931616,141312,1228.1336669921875
1741457382.933655,143360,1242.2630615234375
1741457382.9356,145408,1256.116943359375
1741457382.937597,147456,1270.525634765625
1741457382.939763,149504,1287.259033203125
1741457382.941699,151552,1302.017578125
1741457382.943687,153600,1314.904052734375
1741457382.945688,155648,1328.61474609375
1741457382.947627,157696,1341.9578857421875
1741457382.949663,159744,1355.41650390625
1741457382.951573,161792,1367.6605224609375
1741457382.953616,163840,1379.401123046875
1741457382.955772,165888,1390.4737548828125
1741457382.957625,167936,1402.10498046875
1741457382.95963,169984,1413.0419921875
1741457382.961693,172032,1428.0780029296875
1741457382.963615,174080,1440.7119140625
1741457382.96564,176128,1450.1470947265625
1741457382.967663,178176,1461.020751953125
1741457382.969747,180224,1472.799072265625
1741457382.971677,182272,1483.65625
1741457382.973647,184320,1495.015625
1741457382.975665,186368,1506.013427734375
1741457382.977608,188416,1517.6795654296875
1741457382.979613,190464,1527.8995361328125
1741457382.981642,192512,1542.05712890625
1741457382.983765,194560,1554.180419921875
1741457382.985658,196608,1564.37890625
1741457382.987674,198656,1575.0955810546875
1741457382.989661,200704,1586.9403076171875
