;mean;min;max;median;std;var
4096;-0.009254365880042314;-0.011897986754775047;-0.005574870388954878;-0.009782704059034586;0.002119592955281806;4.49267429608026e-06
6144;-0.0072455264162272215;-0.01169149111956358;-0.004209884442389011;-0.006461967946961522;0.002215243394586693;4.907303297259976e-06
8192;-0.008716776361688971;-0.011247624643146992;-0.006713307462632656;-0.008567451499402523;0.0014155697984954948;2.0038378544125754e-06
10240;-0.009553088573738933;-0.012550478801131248;-0.006279285531491041;-0.009100733324885368;0.0019467076940354164;3.789670846016688e-06
12288;-0.009603972407057881;-0.012969287112355232;-0.005412013735622168;-0.009442349430173635;0.0021387419911563003;4.574217304735216e-06
14336;-0.00926105510443449;-0.010732787661254406;-0.006939929910004139;-0.00932198902592063;0.0010713166611543688;1.1477193884669448e-06
16384;-0.009019664442166685;-0.01296919398009777;-0.005901049356907606;-0.00929611548781395;0.0018562234453015339;3.4455654788870968e-06
18432;-0.01000427147373557;-0.011682567186653614;-0.00815699715167284;-0.010068736039102077;0.001119811931870983;1.2539787627606231e-06
20480;-0.008884370606392623;-0.010408412665128708;-0.006742936559021473;-0.008813199121505022;0.0012049150748261537;1.4518203375433157e-06
22528;-0.009391556913033127;-0.013596569187939167;-0.0074118622578680515;-0.009073866531252861;0.0016511076590372345;2.7261565017314162e-06
24576;-0.008778439648449422;-0.010232973843812943;-0.007341788150370121;-0.008968500420451164;0.0008873666406750472;7.874195549829184e-07
26624;-0.00931198881007731;-0.01236765831708908;-0.006063146982342005;-0.00933188246563077;0.0018911249026028626;3.5763533972446862e-06
28672;-0.010201539751142264;-0.01267190556973219;-0.007812280207872391;-0.009643380530178547;0.0016034650421849622;2.571100141509223e-06
30720;-0.010517513705417514;-0.014226573519408703;-0.006611306685954332;-0.010265960823744535;0.0020955141214991746;4.3911794334024565e-06
32768;-0.010603374661877751;-0.014328168705105782;-0.007053046952933073;-0.010591819416731596;0.0021480246735999416;4.614009998394136e-06
34816;-0.010039121704176068;-0.01251482218503952;-0.0065743145532906055;-0.010389688424766064;0.0017408736537366182;3.030641078274283e-06
36864;-0.011354724690318108;-0.01482541486620903;-0.009481493383646011;-0.011129660997539759;0.0014193557027754901;2.0145706110013057e-06
38912;-0.010599519731476903;-0.012467154301702976;-0.007174586411565542;-0.010719694662839174;0.001476896966762524;2.1812246504323445e-06
40960;-0.009979105740785598;-0.013052274473011494;-0.007946809753775597;-0.00997139560058713;0.0016954040896045332;2.874395027047776e-06
43008;-0.009828583989292383;-0.012306701391935349;-0.007906872779130936;-0.009428313001990318;0.001526274603523515;2.329514165360863e-06
45056;-0.011094093415886163;-0.014132598415017128;-0.008461931720376015;-0.011113093700259924;0.0017716488861994452;3.1387397759717345e-06
47104;-0.009794558817520737;-0.011779545806348324;-0.006608661729842424;-0.00971474964171648;0.00164404271985328;2.7028764647025704e-06
49152;-0.010258374735713005;-0.014473529532551765;-0.007083854638040066;-0.009397241286933422;0.002310137276316765;5.336734235428242e-06
51200;-0.009801701363176107;-0.012597531080245972;-0.006530377082526684;-0.009946010541170835;0.0017489393353778372;3.058788798831871e-06
53248;-0.008551075868308545;-0.010324645787477493;-0.005645251367241144;-0.008725602645426989;0.001402680334507822;1.9675121208149754e-06
55296;-0.0092605653218925;-0.013249610550701618;-0.005524998530745506;-0.010210875887423754;0.0026455872632559913;6.9991319675023245e-06
57344;-0.008739343285560608;-0.012010382488369942;-0.005379104055464268;-0.008937539532780647;0.002000012110833495;4.0000484434806525e-06
59392;-0.008975306944921612;-0.011626716703176498;-0.006574276369065046;-0.009179502725601196;0.0015864304627989437;2.5167616132964706e-06
61440;-0.008222810551524162;-0.0098958695307374;-0.006179853808134794;-0.008309624157845974;0.0011036403387569525;1.2180219973315608e-06
63488;-0.008381798770278693;-0.013286354951560497;-0.004603063687682152;-0.008264230098575354;0.002827368372397101;7.99401191323143e-06
65536;-0.008405238296836615;-0.01166351418942213;-0.002296304330229759;-0.00875941151753068;0.0025856280878015954;6.6854726084285355e-06
67584;-0.008925987593829631;-0.012164175510406494;-0.005137175787240267;-0.009711059741675854;0.0021232432083164586;4.508161721661968e-06
