Wall time,Step,Value
1741305064.870254,2048,73.06298065185547
1741305064.872218,4096,70.0571060180664
1741305064.874307,6144,72.78424072265625
1741305064.876182,8192,74.31460571289062
1741305064.878255,10240,76.39662170410156
1741305064.880264,12288,77.48413848876953
1741305064.882164,14336,81.65174102783203
1741305064.884275,16384,83.343505859375
1741305064.886241,18432,87.38812255859375
1741305064.888245,20480,91.57813262939453
1741305064.890233,22528,95.97903442382812
1741305064.892121,24576,99.01048278808594
1741305064.894244,26624,103.27621459960938
1741305064.896261,28672,107.49954223632812
1741305064.898127,30720,111.97547912597656
1741305064.90084,32768,117.16270446777344
1741305064.904221,34816,123.49504089355469
1741305064.906485,36864,130.17526245117188
1741305064.908344,38912,136.70742797851562
1741305064.910263,40960,143.47154235839844
1741305064.912369,43008,152.9499969482422
1741305064.914494,45056,161.36300659179688
1741305064.916349,47104,171.56895446777344
1741305064.918265,49152,180.83657836914062
1741305064.92025,51200,192.98023986816406
1741305064.92243,53248,208.59207153320312
1741305064.924276,55296,225.49888610839844
1741305064.926189,57344,243.0641632080078
1741305064.928379,59392,261.8537902832031
1741305064.930289,61440,281.8981628417969
1741305064.932287,63488,302.7360534667969
1741305064.934253,65536,329.45733642578125
1741305064.937731,67584,352.4013671875
1741305064.943655,69632,375.4455871582031
1741305064.946316,71680,400.8493347167969
1741305064.948389,73728,426.20977783203125
1741305064.950243,75776,451.9571533203125
1741305064.952283,77824,478.982421875
1741305064.954206,79872,505.79266357421875
1741305064.956344,81920,534.5200805664062
1741305064.958332,83968,561.3573608398438
1741305064.960199,86016,597.2706298828125
1741305064.962334,88064,625.6126098632812
1741305064.964191,90112,654.4441528320312
1741305064.966236,92160,683.8271484375
1741305064.968295,94208,712.0255737304688
1741305064.970201,96256,739.402099609375
1741305064.972293,98304,767.851318359375
1741305064.97421,100352,795.4485473632812
