;mean;min;max;median;std;var
2048;-724.6682739257812;-743.5745849609375;-704.837158203125;-725.6134033203125;14.596083688974959;213.04565905556083
4096;-645.3152282714843;-703.2947998046875;-421.179443359375;-668.5973815917969;76.84829103284486;5905.659834668822
6144;-593.9704772949219;-655.0675048828125;-364.07513427734375;-614.5097961425781;79.12063937648354;6260.075575343557
8192;-556.5020141601562;-612.4305419921875;-414.39361572265625;-570.417236328125;50.888217315715366;2589.610661571473
10240;-502.2859375;-537.5928344726562;-415.9862976074219;-513.8980560302734;33.99011290250529;1155.3277751250566
12288;-461.87253723144534;-494.9017333984375;-413.71331787109375;-462.7321014404297;25.79368625825719;665.3142507894058
14336;-428.6137939453125;-458.81353759765625;-402.3128356933594;-425.2146759033203;20.532741398396492;421.5934693334251
16384;-392.17576904296874;-419.8880310058594;-345.9637145996094;-390.0791778564453;21.864902073890264;478.0739427008107
18432;-365.2772552490234;-391.80706787109375;-324.9515686035156;-363.8421173095703;19.5826856697446;383.4815780400205
20480;-340.2213165283203;-364.4004211425781;-304.248291015625;-340.00550842285156;17.85400371563746;318.76544867799623
22528;-318.2221618652344;-339.8912353515625;-286.7344055175781;-318.2971954345703;15.961769135458743;254.77807393368334
24576;-296.966162109375;-319.04473876953125;-270.45904541015625;-298.69874572753906;15.396792963137292;237.06123354971405
26624;-279.3742050170898;-298.95794677734375;-254.77549743652344;-281.6628112792969;14.32293654000248;205.14651112893824
28672;-263.92315368652345;-280.9223327636719;-242.0124053955078;-267.17938232421875;13.33739249768104;177.8860386371985
30720;-249.44285736083984;-264.71136474609375;-229.2920684814453;-252.79275512695312;12.586111867780286;158.41021194827977
32768;-236.52106628417968;-251.9464111328125;-217.2187042236328;-239.07344818115234;12.379047913824863;153.24082725277168
34816;-224.72372741699218;-240.65626525878906;-206.3130645751953;-226.67852783203125;12.155278295320773;147.75079043669626
36864;-213.99541473388672;-230.2812042236328;-196.17684936523438;-215.7896270751953;11.891529594960105;141.40847610781202
38912;-204.07671356201172;-220.37701416015625;-186.82054138183594;-205.69098663330078;11.621350530755175;135.05578815868358
40960;-195.03663024902343;-211.22055053710938;-178.18014526367188;-196.3253173828125;11.257750768220902;126.73695235937832
43008;-182.8645050048828;-199.0577850341797;-167.12696838378906;-183.85651397705078;10.863092437805998;118.00677731231785
45056;-175.4006149291992;-191.1742401123047;-160.2867431640625;-176.2009048461914;10.539637173954123;111.08395175859566
47104;-168.2640396118164;-183.99034118652344;-154.14830017089844;-167.7643280029297;10.114352423808935;102.30012495300966
49152;-161.93255920410155;-177.1839599609375;-148.33030700683594;-161.36830139160156;9.7987576605937;96.01565169104374
51200;-156.01739349365235;-170.80136108398438;-142.77671813964844;-155.40594482421875;9.516995714003684;90.5732074203645
53248;-149.80337677001953;-164.78106689453125;-137.69468688964844;-149.98899841308594;8.702615693468447;75.73551990820329
55296;-144.46903228759766;-159.17022705078125;-133.01846313476562;-143.7046356201172;8.389645879644437;70.38615798583487
57344;-139.7305877685547;-153.9820098876953;-128.66741943359375;-139.02709197998047;8.114526487411448;65.84554011490197
59392;-134.61170959472656;-149.04689025878906;-124.57211303710938;-133.3877716064453;7.8475870383834;61.584622325003146
61440;-130.28620300292968;-144.50782775878906;-120.68878173828125;-128.72760772705078;7.616919319374322;58.01745991785778
63488;-126.43192825317382;-140.21493530273438;-117.1443099975586;-124.97095108032227;7.3823495428014185;54.49908477210032
65536;-121.93983306884766;-136.171875;-113.69390106201172;-120.26865768432617;7.673941917391303;58.8893845514953
67584;-117.8988540649414;-132.37350463867188;-104.31118774414062;-116.96298217773438;8.35032404898227;69.72791172301163
69632;-113.30228118896484;-128.7626190185547;-87.25227355957031;-113.87876510620117;11.041460432293155;121.91384847789536
71680;-110.34323654174804;-125.52491760253906;-85.01359558105469;-110.94112014770508;10.74915981827057;115.54443679872261
73728;-105.91994552612304;-122.28055572509766;-66.78240203857422;-108.14927291870117;14.55850520216052;211.95007372133492
75776;-102.01262245178222;-119.2291030883789;-56.91354751586914;-104.74058532714844;16.212152449499012;262.8338870457968
77824;-98.73846626281738;-116.32460021972656;-47.41887283325195;-102.25107192993164;18.102778350210556;327.71058399685205
79872;-94.19364414215087;-113.56993103027344;-29.827478408813477;-99.18054962158203;22.252355322389366;495.16731739387035
81920;-89.41816072463989;-110.93903350830078;-5.9060564041137695;-96.2413101196289;28.412010409436352;807.2423355059195
83968;-84.62161998748779;-108.433837890625;18.647539138793945;-94.08010864257812;34.82840318276568;1213.0176682612828
86016;-78.34322662353516;-104.87945556640625;46.916114807128906;-90.23066711425781;42.15330075552664;1776.9007645858824
88064;-74.80153999328613;-102.69062042236328;60.5116081237793;-88.34345626831055;45.4961261967587;2069.8974989113935
90112;-68.78447799682617;-100.60682678222656;93.33712005615234;-84.92693710327148;54.404805208475395;2959.882829772151
92160;-62.333763122558594;-98.55887603759766;131.7058563232422;-82.40800094604492;65.08996936237313;4236.704111594672
94208;-56.333838653564456;-96.60336303710938;170.5147705078125;-80.78351211547852;76.02388294188947;5779.630777562112
