Wall time,Step,Value
1741456789.218873,2048,74.72167205810547
1741456789.221468,4096,73.25367736816406
1741456789.223276,6144,74.99244689941406
1741456789.22505,8192,79.93413543701172
1741456789.227204,10240,85.30062103271484
1741456789.229315,12288,86.45774841308594
1741456789.231125,14336,91.5901870727539
1741456789.23314,16384,94.52226257324219
1741456789.23509,18432,101.62286376953125
1741456789.237095,20480,110.32417297363281
1741456789.239145,22528,119.5224838256836
1741456789.241076,24576,126.4250717163086
1741456789.243135,26624,133.64964294433594
1741456789.245029,28672,143.2423553466797
1741456789.247267,30720,151.7095947265625
1741456789.249145,32768,161.5247344970703
1741456789.251171,34816,172.35617065429688
1741456789.253036,36864,183.4916229248047
1741456789.255152,38912,194.382080078125
1741456789.2572,40960,206.98117065429688
1741456789.259086,43008,222.50808715820312
1741456789.261085,45056,235.9609375
1741456789.263277,47104,250.4110107421875
1741456789.265101,49152,264.5898742675781
1741456789.267104,51200,284.6488952636719
1741456789.269114,53248,308.1183166503906
1741456789.271203,55296,332.90667724609375
1741456789.273051,57344,360.34405517578125
1741456789.275087,59392,387.58123779296875
1741456789.277125,61440,416.89410400390625
1741456789.279197,63488,447.40557861328125
1741456789.281282,65536,487.6821594238281
1741456789.283218,67584,520.830810546875
1741456789.285242,69632,553.177734375
1741456789.287108,71680,586.606201171875
1741456789.289128,73728,620.6235961914062
1741456789.291178,75776,655.8192749023438
1741456789.293211,77824,691.3341674804688
1741456789.295057,79872,726.593505859375
1741456789.297082,81920,760.6845703125
1741456789.299206,83968,795.361572265625
1741456789.30109,86016,838.3640747070312
1741456789.303165,88064,872.2472534179688
1741456789.30513,90112,906.2840576171875
1741456789.307092,92160,939.7408447265625
1741456789.309126,94208,974.05908203125
1741456789.311198,96256,1006.63525390625
1741456789.313237,98304,1038.5230712890625
1741456789.31514,100352,1069.2030029296875
1741456789.317119,102400,1099.669921875
1741456789.319125,104448,1131.20458984375
1741456789.321098,106496,1162.15771484375
1741456789.323157,108544,1198.6348876953125
1741456789.325179,110592,1225.9593505859375
1741456789.327236,112640,1253.7667236328125
1741456789.329063,114688,1280.76318359375
1741456789.33118,116736,1307.4300537109375
1741456789.333274,118784,1333.9697265625
1741456789.335115,120832,1359.2532958984375
1741456789.337206,122880,1383.8651123046875
1741456789.339149,124928,1409.7109375
1741456789.341151,126976,1432.4805908203125
1741456789.343071,129024,1459.892333984375
1741456789.345145,131072,1482.6170654296875
1741456789.347661,133120,1504.64013671875
1741456789.351296,135168,1523.425048828125
1741456789.3532,137216,1543.962646484375
1741456789.35518,139264,1563.189697265625
1741456789.357093,141312,1581.44287109375
1741456789.359198,143360,1600.257568359375
1741456789.361212,145408,1617.613037109375
1741456789.363182,147456,1634.28369140625
1741456789.365082,149504,1653.8779296875
1741456789.367267,151552,1669.412841796875
1741456789.369093,153600,1685.1878662109375
1741456789.371117,155648,1700.193603515625
1741456789.373257,157696,1713.2308349609375
1741456789.375233,159744,1725.8017578125
1741456789.377323,161792,1738.469970703125
1741456789.379243,163840,1749.407470703125
1741456789.381236,165888,1760.39013671875
1741456789.383227,167936,1767.9490966796875
1741456789.385096,169984,1775.2279052734375
1741456789.387517,172032,1784.4468994140625
1741456789.391307,174080,1790.308349609375
1741456789.393218,176128,1795.9525146484375
1741456789.395209,178176,1802.14404296875
1741456789.397228,180224,1808.0220947265625
1741456789.399077,182272,1814.36279296875
1741456789.401153,184320,1820.6845703125
1741456789.403113,186368,1826.52392578125
1741456789.405115,188416,1832.24169921875
1741456789.407143,190464,1837.667236328125
1741456789.409255,192512,1841.88916015625
1741456789.411189,194560,1844.701904296875
1741456789.413066,196608,1847.05810546875
1741456789.415448,198656,1850.679443359375
1741456789.417232,200704,1852.739013671875
