Wall time,Step,Value
1743699364.60231,2048,22.938459396362305
1743699364.602662,4096,18.197509765625
1743699364.602985,6144,17.02419090270996
1743699364.603306,8192,14.743857383728027
1743699364.603639,10240,16.498153686523438
1743699364.603999,12288,16.247026443481445
1743699364.604326,14336,15.45797061920166
1743699364.604662,16384,15.28531551361084
1743699364.604978,18432,20.54235076904297
1743699364.605304,20480,19.04049301147461
1743699364.605674,22528,14.96777057647705
1743699364.605998,24576,16.998462677001953
1743699364.606317,26624,16.64897918701172
1743699364.606653,28672,13.96104621887207
1743699364.606973,30720,16.7506103515625
1743699364.607328,32768,17.872655868530273
1743699364.607666,34816,18.918895721435547
1743699364.607986,36864,20.032081604003906
1743699364.608309,38912,21.680702209472656
1743699364.608638,40960,23.553510665893555
1743699364.608996,43008,28.07231903076172
1743699364.60932,45056,29.072158813476562
1743699364.609654,47104,29.334453582763672
1743699364.609973,49152,33.590599060058594
1743699364.610291,51200,36.723487854003906
1743699364.610659,53248,39.73908615112305
1743699364.610985,55296,39.269779205322266
1743699364.611306,57344,42.0167350769043
1743699364.611639,59392,45.01228332519531
1743699364.611977,61440,48.15443801879883
1743699364.612334,63488,50.077754974365234
1743699364.612667,65536,51.238216400146484
1743699364.612992,67584,54.02455520629883
1743699364.613312,69632,55.481327056884766
1743699364.613643,71680,59.01316833496094
1743699364.614002,73728,60.351016998291016
1743699364.614322,75776,62.92835998535156
1743699364.614649,77824,67.45832824707031
1743699364.61497,79872,69.6380615234375
1743699364.615291,81920,73.51860809326172
1743699364.615652,83968,75.6113052368164
1743699364.615971,86016,80.23528289794922
1743699364.616292,88064,84.12762451171875
1743699364.616622,90112,88.0156478881836
1743699364.616945,92160,92.36360168457031
1743699364.617304,94208,95.2252426147461
1743699364.617634,96256,97.70915222167969
1743699364.617956,98304,101.83016204833984
1743699364.618275,100352,104.55606842041016
1743699364.618618,102400,109.35057067871094
1743699364.618968,104448,114.14472961425781
1743699364.61929,106496,120.88957977294922
1743699364.619616,108544,127.72193145751953
1743699364.619936,110592,133.13658142089844
1743699364.620267,112640,139.06369018554688
1743699364.620632,114688,144.46047973632812
1743699364.620956,116736,150.61361694335938
1743699364.621272,118784,155.86029052734375
1743699364.621596,120832,161.90045166015625
1743699364.621935,122880,168.0390625
1743699364.622274,124928,172.70445251464844
1743699364.6226,126976,179.09536743164062
1743699364.622918,129024,187.5372772216797
1743699364.623239,131072,193.13638305664062
1743699364.623579,133120,196.69020080566406
1743699364.623926,135168,200.60830688476562
1743699364.624252,137216,206.74403381347656
1743699364.624581,139264,210.3253936767578
1743699364.624901,141312,214.7188262939453
1743699364.625241,143360,217.81466674804688
1743699364.625587,145408,222.233154296875
1743699364.625901,147456,227.2212371826172
1743699364.626221,149504,229.2584228515625
1743699364.626555,151552,232.9876251220703
1743699364.626891,153600,236.328857421875
1743699364.627241,155648,241.36598205566406
1743699364.62757,157696,245.48081970214844
1743699364.627887,159744,248.93438720703125
1743699364.628203,161792,252.12527465820312
1743699364.628561,163840,256.30206298828125
1743699364.628892,165888,260.1288757324219
1743699364.629228,167936,263.9705810546875
1743699364.629556,169984,267.0583801269531
1743699364.629875,172032,270.7503967285156
1743699364.630211,174080,273.511962890625
1743699364.630568,176128,275.206298828125
1743699364.630888,178176,277.56781005859375
1743699364.631206,180224,277.0254211425781
1743699364.631539,182272,279.00390625
1743699364.631899,184320,280.3512878417969
1743699364.632219,186368,279.7156066894531
1743699364.632553,188416,279.87896728515625
1743699364.632872,190464,280.8578186035156
1743699364.633186,192512,280.380859375
1743699364.633552,194560,280.1925964355469
1743699364.633877,196608,280.7014465332031
1743699364.634194,198656,279.6524353027344
1743699364.634521,200704,278.553955078125
1743699364.634845,202752,277.7502746582031
1743699364.635195,204800,276.9918212890625
1743699364.635521,206848,274.22576904296875
1743699364.635846,208896,272.78216552734375
1743699364.636174,210944,270.93170166015625
1743699364.636504,212992,268.0147399902344
1743699364.636872,215040,265.78302001953125
1743699364.637192,217088,262.7738342285156
1743699364.637518,219136,261.1429138183594
1743699364.637836,221184,257.9318542480469
1743699364.638163,223232,256.6793212890625
1743699364.638533,225280,254.9228973388672
1743699364.638851,227328,252.95179748535156
1743699364.63917,229376,250.66973876953125
1743699364.639496,231424,248.9462890625
1743699364.639812,233472,247.37327575683594
1743699364.64017,235520,247.225830078125
1743699364.640498,237568,245.4468536376953
1743699364.640823,239616,245.1491241455078
1743699364.641139,241664,244.60935974121094
1743699364.641467,243712,245.55264282226562
1743699364.641828,245760,244.91014099121094
1743699364.642148,247808,243.52264404296875
1743699364.642479,249856,242.299072265625
1743699364.642801,251904,241.04147338867188
1743699364.643126,253952,237.8285369873047
1743699364.643491,256000,232.8915557861328
1743699364.643816,258048,229.60623168945312
1743699364.644137,260096,226.77230834960938
1743699364.644452,262144,223.15687561035156
1743699364.6448,264192,221.2044677734375
1743699364.645133,266240,219.2171173095703
1743699364.645464,268288,217.0718231201172
1743699364.645786,270336,215.10523986816406
1743699364.646105,272384,212.86105346679688
1743699364.646462,274432,210.87725830078125
1743699364.646811,276480,208.82264709472656
1743699364.647128,278528,211.77789306640625
1743699364.647446,280576,211.6666717529297
1743699364.647778,282624,210.60397338867188
1743699364.64812,284672,210.07794189453125
1743699364.648458,286720,208.6762237548828
1743699364.648783,288768,208.14938354492188
1743699364.6491,290816,206.9310760498047
1743699364.649417,292864,206.23220825195312
1743699364.649767,294912,204.09205627441406
1743699364.650104,296960,202.8983154296875
1743699364.650426,299008,200.50289916992188
1743699364.650757,301056,198.8306121826172
1743699364.651078,303104,197.73684692382812
1743699364.651395,305152,196.20985412597656
1743699364.651719,307200,196.5904083251953
1743699364.652038,309248,196.98257446289062
1743699364.652357,311296,197.76304626464844
1743699364.652833,313344,198.10638427734375
1743699364.653151,315392,198.76527404785156
1743699364.653477,317440,198.77508544921875
1743699364.653794,319488,199.39059448242188
1743699364.654113,321536,200.99429321289062
1743699364.654439,323584,200.83560180664062
1743699364.654775,325632,199.10592651367188
1743699364.655097,327680,197.25523376464844
1743699364.655416,329728,195.46749877929688
1743699364.655746,331776,193.33546447753906
1743699364.656066,333824,191.32872009277344
1743699364.656382,335872,189.5966796875
1743699364.656823,337920,187.43348693847656
1743699364.657244,339968,185.43028259277344
1743699364.657574,342016,181.75863647460938
1743699364.657945,344064,180.21531677246094
1743699364.658334,346112,179.11851501464844
1743699364.658669,348160,177.89222717285156
1743699364.659024,350208,178.0454559326172
1743699364.659399,352256,178.4908905029297
1743699364.659794,354304,178.9656219482422
1743699364.660121,356352,178.59637451171875
1743699364.660523,358400,177.39378356933594
1743699364.660924,360448,176.16981506347656
1743699364.661241,362496,175.56988525390625
1743699364.661668,364544,173.9104461669922
1743699364.662071,366592,172.11865234375
1743699364.662388,368640,171.19776916503906
1743699364.662754,370688,171.23484802246094
1743699364.663131,372736,172.45468139648438
1743699364.663448,374784,173.1556854248047
1743699364.663813,376832,173.533935546875
1743699364.664197,378880,171.1789093017578
1743699364.664548,380928,171.4814453125
1743699364.664897,382976,171.26405334472656
1743699364.665276,385024,172.82510375976562
1743699364.665638,387072,173.65943908691406
