;mean;min;max;median;std;var
4096;95.72911071777344;73.53167724609375;119.87504577636719;97.78490447998047;13.602235330301614;185.02080598090544
6144;105.71245727539062;76.95250701904297;141.36061096191406;105.36839294433594;17.275113209082026;298.42953638660026
8192;106.49375991821289;79.58660888671875;131.213623046875;105.81437301635742;18.231715732704927;332.3954585581604
10240;116.3168098449707;82.28227233886719;150.17347717285156;119.93956756591797;19.210275940981468;369.03470172865144
12288;119.93930511474609;90.3058090209961;187.84420776367188;113.14326477050781;25.215210260107426;635.8068284614268
14336;120.99930419921876;92.40096282958984;181.54452514648438;113.75082015991211;24.249034479517725;588.0156731888395
16384;127.20191650390625;88.37188720703125;189.8241729736328;127.08970260620117;32.211328390804326;1037.5696767002369
18432;125.62308120727539;85.7447738647461;159.6463165283203;128.63719177246094;22.264942561009722;495.7276672450622
20480;146.70224151611328;91.14403533935547;200.05496215820312;147.33464813232422;26.80797388202904;718.667463659551
22528;145.27020721435548;105.9766845703125;190.4396209716797;143.1585235595703;24.08049895962005;579.8704301442624
24576;152.86237258911132;114.6761245727539;198.3736572265625;146.95040893554688;23.669418938624975;560.2413928921386
26624;158.24625625610352;125.92887115478516;181.3846893310547;154.78423309326172;19.940803150286506;397.6356302784762
28672;154.68905944824218;93.759765625;189.16282653808594;159.31051635742188;23.597220074504158;556.828795244582
30720;159.08503036499025;108.81281280517578;235.8749237060547;159.59735870361328;32.678295524817386;1067.8709984073002
32768;167.78361434936522;117.64745330810547;257.7064514160156;157.00438690185547;40.064957404831475;1605.2008118509602
34816;180.03170776367188;143.0384521484375;230.90579223632812;177.0897674560547;24.87912586235094;618.9709036746993
36864;200.0630645751953;143.7601776123047;314.10791015625;192.0338897705078;47.33554202352785;2240.653538661171
38912;188.6641746520996;100.24637603759766;234.856201171875;199.42259979248047;36.41970286166503;1326.394756531972
40960;194.1905944824219;130.65084838867188;259.8832092285156;204.07306671142578;45.79577473248161;2097.2529833482013
43008;184.32442321777344;130.3521728515625;281.29052734375;187.45140838623047;39.39618485810499;1552.0593813739808
45056;191.3958541870117;125.4493408203125;253.6764678955078;195.48307037353516;41.23525643132477;1700.3463729571108
47104;183.4833786010742;105.47848510742188;232.21815490722656;192.40718841552734;33.07310041041983;1093.8299707577123
49152;178.89228210449218;107.52085876464844;211.1749725341797;186.19586944580078;28.097680708829667;789.4796612153389
51200;188.58277969360353;121.60918426513672;293.9330749511719;178.79212188720703;49.88767790697185;2488.7804069497674
53248;213.03756561279297;160.3994140625;324.40777587890625;202.3165512084961;44.535379930542554;1983.4000655577722
55296;223.5306381225586;151.50186157226562;323.1520690917969;200.4464874267578;52.71242229474961;2778.5994641800157
