;mean;min;max;median;std;var
2048;1854.2;1789.0;1882.0;1866.0;29.284125392437456;857.5600000000002
4096;1297.0;1271.0;1317.0;1300.0;15.817711591756881;250.2
6144;1175.6;1149.0;1197.0;1178.0;12.831211945876353;164.64000000000001
8192;1123.1;1096.0;1140.0;1125.5;12.32436610945975;151.89000000000001
10240;1093.0;1070.0;1110.0;1093.0;10.459445491994305;109.4
12288;1075.7;1053.0;1091.0;1074.5;10.03045362882457;100.60999999999999
14336;1061.5;1042.0;1074.0;1060.0;9.2655275079188;85.85
16384;1051.8;1033.0;1065.0;1052.0;8.133879763065101;66.16
18432;1044.1;1024.0;1058.0;1044.5;9.374966666607408;87.89000000000001
20480;1037.7;1017.0;1053.0;1038.5;10.392785959500946;108.00999999999999
22528;1032.8;1013.0;1048.0;1033.5;10.39038016628843;107.96
24576;1029.3;1011.0;1045.0;1030.0;10.668176976409793;113.80999999999999
26624;1026.4;1009.0;1042.0;1025.5;10.725670142233538;115.04
28672;1024.1;1007.0;1038.0;1023.0;9.984487968844473;99.69000000000001
30720;1021.5;1006.0;1036.0;1022.0;10.042410069301093;100.85
32768;1019.1;1003.0;1034.0;1019.5;10.024470060806205;100.48999999999998
34816;1017.0;1001.0;1030.0;1018.0;9.757048734120374;95.2
36864;1015.5;998.0;1028.0;1016.0;10.062305898749054;101.25
38912;1014.4;997.0;1026.0;1015.0;10.150862032359615;103.03999999999999
40960;1012.6;995.0;1025.0;1013.0;10.287856919689348;105.83999999999999
43008;1011.8;994.0;1025.0;1012.5;10.274239631233057;105.55999999999997
45056;1010.7;993.0;1025.0;1012.5;9.970456358662826;99.40999999999997
47104;1009.7;991.0;1025.0;1011.5;10.325211862233141;106.60999999999997
49152;1009.1;990.0;1025.0;1011.0;10.444615837837215;109.08999999999999
51200;1008.4;989.0;1023.0;1010.5;10.394229168149026;108.03999999999999
53248;1007.6;989.0;1021.0;1010.0;9.931767214348108;98.63999999999999
55296;1007.0;988.0;1021.0;1009.5;9.989994994993742;99.8
57344;1005.7;988.0;1018.0;1008.0;9.392017887546848;88.20999999999997
59392;1004.6;987.0;1017.0;1006.5;9.467840302835699;89.63999999999999
61440;1003.8;986.0;1016.0;1006.0;9.453041838477176;89.35999999999997
63488;1003.4;986.0;1015.0;1005.5;9.16733330909267;84.03999999999999
65536;1002.7;985.0;1014.0;1004.0;9.241753080449616;85.40999999999997
67584;1002.1;985.0;1014.0;1003.5;9.406912352095132;88.48999999999998
69632;1001.7;985.0;1014.0;1003.5;9.445104552094698;89.20999999999997
71680;1001.2;984.0;1013.0;1003.5;9.662297863344929;93.35999999999997
73728;1001.1;984.0;1013.0;1004.0;9.863569333664158;97.28999999999999
75776;1000.9;983.0;1013.0;1004.0;10.173003489628812;103.48999999999998
77824;1000.8;983.0;1013.0;1004.5;10.037928073063682;100.75999999999996
79872;1000.5;983.0;1012.0;1004.0;10.0024996875781;100.05
81920;1000.1;983.0;1012.0;1003.5;9.863569333664158;97.28999999999999
83968;999.7;983.0;1012.0;1002.5;9.79846926820715;96.00999999999996
86016;999.3;982.0;1012.0;1002.5;9.899999999999999;98.00999999999996
88064;998.9;982.0;1011.0;1001.5;9.565040512198575;91.48999999999998
90112;998.6;982.0;1011.0;1001.5;9.666436778875656;93.43999999999998
92160;998.1;981.0;1010.0;1000.5;9.554580053565934;91.28999999999999
94208;997.8;981.0;1010.0;1000.0;9.693296652842108;93.96
96256;997.9;981.0;1010.0;1000.5;9.730878685915265;94.68999999999998
98304;997.7;981.0;1010.0;1000.5;9.51892851112981;90.60999999999999
100352;997.4;980.0;1010.0;1000.5;9.656086163658648;93.23999999999998
102400;997.4;981.0;1010.0;1000.0;9.264987857520374;85.83999999999999
104448;997.4;981.0;1009.0;1000.5;9.286549412995118;86.23999999999998
106496;997.1;980.0;1009.0;1000.0;9.353608929178083;87.48999999999998
108544;996.7;980.0;1008.0;999.0;9.089004345911603;82.60999999999999
110592;997.1;980.0;1009.0;999.5;9.42814934120159;88.88999999999999
112640;996.8;980.0;1008.0;999.0;9.282241108697834;86.16
114688;996.6;980.0;1008.0;998.5;9.318798205777394;86.83999999999999
116736;996.5;980.0;1008.0;997.5;9.254728521139883;85.65
118784;996.4;980.0;1008.0;997.0;9.232551110067032;85.23999999999998
120832;996.0;979.0;1008.0;996.0;9.2951600308978;86.4
122880;995.7;979.0;1008.0;995.0;9.252567211320326;85.60999999999999
124928;995.9;979.0;1008.0;995.0;9.310746479203479;86.68999999999998
126976;995.5;979.0;1007.0;994.5;9.35147047260483;87.45
129024;995.5;979.0;1007.0;994.0;9.447221813845593;89.25
131072;995.4;979.0;1007.0;994.0;9.499473669630333;90.23999999999998
133120;995.1;979.0;1006.0;994.5;9.38562730988185;88.09
135168;994.8;978.0;1006.0;993.5;9.453041838477178;89.35999999999999
137216;994.6;978.0;1006.0;993.5;9.488940931421167;90.03999999999999
139264;994.5;978.0;1006.0;993.0;9.5;90.25
141312;994.3;978.0;1005.0;993.0;9.263368717696602;85.80999999999999
143360;994.4;978.0;1005.0;994.0;9.264987857520376;85.84
145408;994.2;978.0;1005.0;994.0;9.053176238205019;81.96
147456;994.1;978.0;1005.0;994.0;8.960468737739115;80.28999999999999
149504;994.0;977.0;1005.0;994.0;9.143303560529969;83.6
151552;993.9;977.0;1005.0;993.5;9.148223871331528;83.69
153600;993.8;977.0;1005.0;993.5;9.173875952943773;84.16
155648;993.8;977.0;1005.0;993.5;9.293008124391154;86.35999999999999
157696;993.7;977.0;1005.0;993.5;9.209234495874236;84.80999999999999
159744;993.6;977.0;1004.0;993.5;9.090654541890808;82.64
161792;993.6;977.0;1004.0;993.5;9.090654541890808;82.64
163840;993.7;977.0;1004.0;993.5;9.0448880590088;81.80999999999999
165888;993.5;977.0;1004.0;993.5;8.857200460642177;78.45
167936;993.6;977.0;1004.0;993.5;8.935323161475472;79.84
169984;993.7;977.0;1004.0;993.5;9.033825324855467;81.60999999999999
172032;993.7;977.0;1004.0;993.5;9.033825324855467;81.60999999999999
174080;993.7;977.0;1004.0;994.0;8.843641783790204;78.21
